Country Name,Series Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guinea,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,"Electricity production from oil, gas and coal sources (% of total)",66.94214876,53.84615385,41.97707736,48.26325411,52.35690236,52.46800731,52.3364486,52.46800731,52.3381295,52.45614035,67.09401709,62.75720165,71.28987517,69.84667802,87.16861082,79.90909091,86.63507109,91.2875121,92.00385356,,,,,,
Honduras,"Electricity production from oil, gas and coal sources (% of total)",33.51403061,43.68960469,37.85277859,38.08871851,50.74665294,60.03409644,60.82451499,70.03297609,67.05336427,63.07178631,62.39936859,62.00946709,55.24528302,52.19123506,53.2209591,50.69767442,53.2449839,56.17068923,57.7244841,,,,,,
"Hong Kong SAR, China","Electricity production from oil, gas and coal sources (% of total)",100,100,100,100,100,100,100,100,100,99.99741047,99.99743274,99.99736801,99.99741816,99.75773048,99.79543827,99.76572959,99.75739313,99.73439575,99.72127268,,,,,,
Hungary,"Electricity production from oil, gas and coal sources (% of total)",59.6604232,61.77467061,61.94491436,58.85879912,60.34875738,60.67428161,66.66569044,61.79838614,55.87873364,57.92966898,58.19319319,56.80449719,48.65211095,49.33772176,48.56048197,46.42125018,39.62170727,35.48584649,36.55988399,,,,,,
Iceland,"Electricity production from oil, gas and coal sources (% of total)",0.07160759,0.079605158,0.069560378,0.065070276,0.049794597,0.071292776,0.070588235,0.046387568,0.057563896,0.040281974,0.016698672,0.012145503,0.011880718,0.011724017,0.011620475,0.017094991,0.027599912,0.016553551,0.021277728,,,,,,
India,"Electricity production from oil, gas and coal sources (% of total)",81.85170454,80.93224629,82.31434487,83.44216483,83.48184457,84.76876407,83.79363804,83.02024442,80.949227,80.01587006,80.05155647,81.70058525,82.27508498,81.23585892,79.63232502,81.28737036,79.72050931,80.89615531,81.89209865,,,,,,
Indonesia,"Electricity production from oil, gas and coal sources (% of total)",89.66057861,84.23460365,85.87673864,84.04393249,82.52513481,85.0467117,86.3614637,86.39348219,86.39446714,87.7412228,87.0961161,86.68416753,86.7669384,84.14597508,87.9989314,88.75568665,87.72058143,88.51700047,89.34457057,,,,,,
"Iran, Islamic Rep.","Electricity production from oil, gas and coal sources (% of total)",92.91259653,93.19570092,95.5802969,96.96215673,96.08923098,94.27137246,92.77024656,93.60524329,90.9196577,90.45525789,91.11213515,97.57656272,96.63007634,95.83660644,94.74113942,94.2880964,92.56003414,93.17611586,93.85674529,,,,,,
Iraq,"Electricity production from oil, gas and coal sources (% of total)",98.08497314,98.08369688,98.08319868,98.0846395,98.08378035,98.4732599,98.47212421,98.4734479,61.31578947,56.52958046,55.79925986,63.55454348,56.42190927,65.45145988,71.20197392,65.64170542,61.87737496,57.52124897,50.1494443,,,,,,
Ireland,"Electricity production from oil, gas and coal sources (% of total)",85.43349078,86.28221094,87.10774179,87.51742491,86.92757389,86.05643441,87.26519448,88.57426135,83.13041442,82.98790382,82.16684023,78.82171994,75.90314042,79.03534923,72.19481667,71.46752146,68.82111437,65.29370738,62.80650557,,,,,,
Isle of Man,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Israel,"Electricity production from oil, gas and coal sources (% of total)",99.54700855,99.58108286,99.5486421,99.61557394,99.69739028,99.66153846,99.64286474,99.65735316,99.67079544,99.70331105,99.73044319,99.50878917,99.25101803,99.5767268,99.28618107,99.16670635,98.99872803,98.42139016,97.66916825,,,,,,
Italy,"Electricity production from oil, gas and coal sources (% of total)",80.87407311,81.2185843,79.68486625,80.67022053,79.43205808,82.02513584,82.92778348,80.5826687,82.79982482,82.67060135,83.63062987,80.61379084,75.15736903,73.26164011,71.36984114,67.96480299,60.03633092,55.4890765,60.24676625,,,,,,
Jamaica,"Electricity production from oil, gas and coal sources (% of total)",94.068745,95.07716049,95.1732486,95.15591886,96.54447115,97.75021633,97.48110831,96.71608702,96.3082727,96.05245551,95.03002001,93.86068477,92.63301501,92.31481481,91.27347687,89.07584129,90.15777611,90.20368574,89.73799127,,,,,,
Japan,"Electricity production from oil, gas and coal sources (% of total)",54.32858393,54.22360183,57.16147772,58.02248339,59.01984646,61.37336776,65.15587707,62.16009485,61.3793592,61.18412963,64.54050867,64.49514181,63.0592988,61.97064375,73.82950187,81.14717328,81.59735363,82.79272981,80.25937295,,,,,,
Jordan,"Electricity production from oil, gas and coal sources (% of total)",99.6807152,99.76278725,99.75992092,99.43050847,99.32441383,99.24987703,99.3745309,99.30857589,99.32670396,99.46043165,99.43081301,99.46524064,99.51653587,99.50598904,99.54939578,99.57821162,99.6292649,99.6377607,99.032292,,,,,,
Kazakhstan,"Electricity production from oil, gas and coal sources (% of total)",87.50192308,87.50432394,87.08998274,85.27784272,85.75021545,84.73141133,86.4622804,87.94383449,88.16896841,83.51312503,83.39121126,90.19009797,91.2514293,90.29354113,90.89575682,91.76874926,92.49461615,92.12224464,91.12597212,,,,,,
Kenya,"Electricity production from oil, gas and coal sources (% of total)",16.56646627,18.01645734,33.61932716,53.0204693,33.40717767,21.9832222,16.38588047,25.01396908,28.33763997,29.65912711,28.39944436,36.86930091,44.70848708,30.93048418,33.12701483,25.22346027,30.71203245,18.51371787,12.48575277,,,,,,
Kiribati,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.","Electricity production from oil, gas and coal sources (% of total)",44.55958549,40,44.62365591,47.42268041,47.52475248,46.29854369,44.18516049,43.11200109,42.68505587,43.74860709,38.29856433,39.37513467,40.83400388,38.14623338,31.34297306,29.81908921,24.17630373,27.41079904,27.20390187,,,,,,
"Korea, Rep.","Electricity production from oil, gas and coal sources (% of total)",63.9905634,56.48010589,54.44277492,60.8045722,62.34258597,62.8297413,60.70584602,62.55714488,60.64830331,61.70905113,65.33053146,64.97423052,66.18748838,68.73014467,68.62108285,70.15020671,72.33714637,69.49562713,67.72439761,,,,,,
Kosovo,"Electricity production from oil, gas and coal sources (% of total)",,,,98.24146094,98.60962567,98.60026918,98.56749311,97.23174914,97.48766263,97.72214705,98.05584281,98.52770244,97.58842444,96.9620743,98.18996725,98.38465422,97.80842912,97.22222222,97.71204445,,,,,,
Kuwait,"Electricity production from oil, gas and coal sources (% of total)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,
Kyrgyz Republic,"Electricity production from oil, gas and coal sources (% of total)",23.45817291,20.16860699,14.09975239,14.10488246,14.09233921,14.09159537,14.093146,14.1205997,14.1226244,14.1224265,14.12002697,14.12333531,7.813768835,8.198347107,6.72252276,6.520305907,6.523445864,8.7427944,14.81197237,,,,,,
Lao PDR,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,"Electricity production from oil, gas and coal sources (% of total)",32.11273857,23.80541659,31.94647202,29.85976789,32.68691589,36.52830189,40.62893082,31.84047771,30.41174073,43.03823349,40.72521484,39.09745923,36.14652541,45.14863437,49.5077125,33.37116913,43.05041069,45.45808209,49.82830291,,,,,,
Lebanon,"Electricity production from oil, gas and coal sources (% of total)",89.41867293,92.27590278,96.6790037,95.35917313,96.69675627,94.17125172,89.16792498,90.92970522,91.52281384,93.97590361,95.1391774,97.19780633,95.48326193,94.66013238,95.08096548,93.20787805,92.74318065,98.92491087,97.39617308,,,,,,
Lesotho,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
